,value,variable,date
273,3.786910792523774,1996,5/18
274,3.8527905267537554,1996,5/19
275,3.7093975381010114,1996,5/20
276,3.64902611161714,1996,5/21
277,3.690548367027983,1996,5/22
278,3.7832230933307223,1996,5/23
279,3.9373388353704875,1996,5/24
280,4.059643579091186,1996,5/25
281,4.227885942953642,1996,5/26
282,4.446225919305118,1996,5/27
283,4.408551979789994,1996,5/28
284,4.4276831911705505,1996,5/29
285,4.43056467972946,1996,5/30
286,4.751133922382117,1996,5/31
287,4.6821087553157765,1996,6/1
288,4.814160999465099,1996,6/2
289,4.848481120185262,1996,6/3
290,4.785602005944438,1996,6/4
291,4.97841419339225,1996,6/5
292,4.994207733482491,1996,6/6
293,4.97969237614537,1996,6/7
294,4.856123154094099,1996,6/8
295,4.95845664887038,1996,6/9
296,5.01208786172879,1996,6/10
297,5.031648869402974,1996,6/11
298,4.883906688963095,1996,6/12
299,4.717054892820648,1996,6/13
300,4.8330034695043755,1996,6/14
301,4.981635119680681,1996,6/15
302,4.843853083728262,1996,6/16
303,4.745504798460944,1996,6/17
304,4.858610591468286,1996,6/18
305,4.841949589152246,1996,6/19
306,4.905702185418227,1996,6/20
307,5.070512480894734,1996,6/21
308,5.156076764535942,1996,6/22
309,5.163440318555427,1996,6/23
310,5.075720170166183,1996,6/24
311,5.153032035536646,1996,6/25
312,5.173927609026928,1996,6/26
313,5.169105732566112,1996,6/27
314,5.006440007432697,1996,6/28
315,5.228583707164741,1996,6/29
316,5.4337398527971,1996,6/30
317,5.399835613218013,1996,7/1
318,5.525634319684361,1996,7/2
319,5.660919204856359,1996,7/3
320,5.677693008350437,1996,7/4
321,5.711931705192889,1996,7/5
322,5.84475493297293,1996,7/6
323,5.8157723583677265,1996,7/7
324,5.8157723583677265,1996,7/8
325,5.8157723583677265,1996,7/9
326,5.8157723583677265,1996,7/10
327,5.7139554405726924,1996,7/11
328,5.961400760596747,1996,7/12
329,6.119207883317226,1996,7/13
330,6.190921909911985,1996,7/14
331,6.139565647431135,1996,7/15
332,6.358432280955501,1996,7/16
333,6.3878775996587365,1996,7/17
334,6.451446151542053,1996,7/18
335,6.225789646360913,1996,7/19
336,6.129168153709947,1996,7/20
337,6.2859510374143355,1996,7/21
338,6.239635123582492,1996,7/22
339,6.196455928495699,1996,7/23
340,6.306414505432655,1996,7/24
341,6.1223298682314855,1996,7/25
342,6.245351438868581,1996,7/26
343,6.292707092645625,1996,7/27
344,6.232656410200506,1996,7/28
345,6.324698658269001,1996,7/29
346,6.2980305837819825,1996,7/30
347,6.443292194803607,1996,7/31
348,6.407192734494177,1996,8/1
349,6.492785629295825,1996,8/2
350,6.363719905322974,1996,8/3
351,6.711363247427361,1996,8/4
352,6.719630233862595,1996,8/5
353,6.972945856237416,1996,8/6
354,6.936373675339649,1996,8/7
355,6.901268306021415,1996,8/8
356,6.899246310822682,1996,8/9
357,6.9853179874242395,1996,8/10
358,7.249305336968308,1996,8/11
359,7.395611494508137,1996,8/12
360,7.474910823576368,1996,8/13
361,7.431656962194411,1996,8/14
362,7.512050411083435,1996,8/15
363,7.6799463071611624,1996,8/16
364,7.7280918521536845,1996,8/17
365,7.84179981422281,1996,8/18
366,7.927614988130816,1996,8/19
367,8.059817631246249,1996,8/20
368,7.931568929643002,1996,8/21
369,7.867431477954597,1996,8/22
370,7.757623776375244,1996,8/23
371,7.925583576988678,1996,8/24
