,deviation,year,date
229,0.7030059572,1996,4/4
230,0.8280959855,1996,4/5
231,0.8614994492,1996,4/6
232,1.054465458,1996,4/7
233,1.159664843,1996,4/8
234,1.145037758,1996,4/9
235,1.192454784,1996,4/10
236,1.231974756,1996,4/11
237,1.173439561,1996,4/12
238,1.334063879,1996,4/13
239,1.377835905,1996,4/14
240,1.445648248,1996,4/15
241,1.697604569,1996,4/16
242,1.848841826,1996,4/17
243,1.80437749,1996,4/18
244,1.894846215,1996,4/19
245,2.031559451,1996,4/20
246,2.136153673,1996,4/21
247,2.058939574,1996,4/22
248,1.987335102,1996,4/23
249,2.051426985,1996,4/24
250,2.05730969,1996,4/25
251,2.249899671,1996,4/26
252,2.157622038,1996,4/27
253,2.263036692,1996,4/28
254,2.377603816,1996,4/29
255,2.369955539,1996,4/30
256,2.520333305,1996,5/1
257,2.576012668,1996,5/2
258,2.613070731,1996,5/3
259,2.54738061,1996,5/4
260,2.764618166,1996,5/5
261,2.744860682,1996,5/6
262,2.710489741,1996,5/7
263,2.940964732,1996,5/8
264,2.921459562,1996,5/9
265,2.86654365,1996,5/10
266,2.985417588,1996,5/11
267,3.009210575,1996,5/12
268,3.272138208,1996,5/13
269,3.504804167,1996,5/14
270,3.555440569,1996,5/15
271,3.534530369,1996,5/16
272,3.743829982,1996,5/17
273,3.786910793,1996,5/18
274,3.852790527,1996,5/19
275,3.709397538,1996,5/20
276,3.649026112,1996,5/21
277,3.690548367,1996,5/22
278,3.783223093,1996,5/23
279,3.937338835,1996,5/24
280,4.059643579,1996,5/25
281,4.227885943,1996,5/26
282,4.446225919,1996,5/27
283,4.40855198,1996,5/28
284,4.427683191,1996,5/29
285,4.43056468,1996,5/30
286,4.751133922,1996,5/31
287,4.682108755,1996,6/1
288,4.814160999,1996,6/2
289,4.84848112,1996,6/3
290,4.785602006,1996,6/4
291,4.978414193,1996,6/5
292,4.994207733,1996,6/6
293,4.979692376,1996,6/7
294,4.856123154,1996,6/8
295,4.958456649,1996,6/9
296,5.012087862,1996,6/10
297,5.031648869,1996,6/11
298,4.883906689,1996,6/12
299,4.717054893,1996,6/13
300,4.83300347,1996,6/14
301,4.98163512,1996,6/15
302,4.843853084,1996,6/16
303,4.745504798,1996,6/17
304,4.858610591,1996,6/18
305,4.841949589,1996,6/19
306,4.905702185,1996,6/20
307,5.070512481,1996,6/21
308,5.156076765,1996,6/22
